Name,overall,Action,Adventure,Sci-Fi,Drama,Comedy,Romance,Musical,War,Horror,History,Mystery,Thriller,Crime,Sport,Biography,Fantasy,Family,Documentary,Music,Animation,News,Western,average,Votes
Aani Maani,6.6,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,15
Aankhen,6.7,6.7,0,0,0,6.7,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,6.7,1898
Aankhen,7.4,0,0,0,7.4,0,0,0,0,0,0,0,7.4,7.4,0,0,0,0,0,0,0,0,0,7.4,12574
Aankhon Aankhon Mein,6.4,0,0,0,6.4,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,28
Aansoo Aur Muskan,6.5,0,0,0,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,6.5,24
Aao Pyaar Karen,4.2,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,160
Aao Wish Karein,5.1,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,5.1,5.1,0,0,0,0,0,5.1,584
Aap Aye Bahaar Ayee,6.6,0,0,0,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,80
Aap Beati,5.7,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,5.7,32
Aap Ki Kasam,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,420
Aap Ki Khatir,6.3,6.3,0,0,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,27
Aap Ki Khatir,3.6,0,0,0,0,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,863
Aap Ki Parchhaiyan,6.3,0,0,0,6.3,0,6.3,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,6.3,39
Aap Mujhe Achche Lagne Lage,3.1,3.1,0,0,3.1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,2366
Aap To Aise Na The,5.6,0,0,0,5.6,0,5.6,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,5.6,38
Aapas Ki Baat,5.2,5.2,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,17
Aapko Pehle Bhi Kahin Dekha Hai,4.5,4.5,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,273
Aar Paar,6.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,44
Aar Ya Paar,6.1,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,6.1,230
Aarakshan,6.2,0,0,0,6.2,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,6.2,5170
Aarop,6.7,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,13
Aar-Paar,6.6,0,0,0,0,0,6.6,6.6,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,6.6,250
Aarti,6.6,0,0,0,0,0,6.6,6.6,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,6.6,67
