Name,Year,Duration,Genre,Rating,Director,Actor1,Actor2,Actor3
Aap Ki Kasam,1974,153,"Romance, Drama",7,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar
Aap Ki Khatir,1977,115,"Action, Comedy, Drama",6.3,Sudhendu Roy,Vinod Khanna,Rekha,Nadira
Aap Ki Khatir,2006,122,"Comedy, Romance",3.6,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel
Aap Ki Parchhaiyan,1964,128,"Drama, Family, Romance",6.3,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi
Aap Mujhe Achche Lagne Lage,2002,180,"Action, Drama, Romance",3.1,Vikram Bhatt,Hrithik Roshan,Ameesha Patel,Kiran Kumar
Aap To Aise Na The,1980,145,"Romance, Drama, Family",5.6,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar
Aapas Ki Baat,1981,148,"Action, Romance",5.2,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor
Aapko Pehle Bhi Kahin Dekha Hai,2003,145,"Action, Comedy, Drama",4.5,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal
Aar Paar,1985,125,Action,6.1,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
Aar Ya Paar,1997,180,Thriller,6.1,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri
Aarakshan,2011,164,"Drama, Thriller",6.2,Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee
Aarop,1974,129,Drama,6.7,Atma Ram,Vinod Khanna,Saira Banu,Vinod Mehra
Aar-Paar,1954,146,"Musical, Romance, Thriller",6.6,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi
Aarti,1962,156,"Family, Musical, Romance",6.6,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar
Aarya,2007,157,"Action, Drama, Romance",4.6,Balasekaran,Bhavana,Madhavan,Prakash Raj
Aarzoo,1999,175,"Drama, Romance",5.4,Lawrence D'Souza,Madhuri Dixit,Akshay Kumar,Saif Ali Khan
Aasha,1957,171,"Comedy, Romance",6.5,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran
Aasha,1980,123,"Drama, Musical, Romance",5.3,J. Om Prakash,Jeetendra,Reena Roy,Rameshwari
Aashayein,2010,120,Drama,7.1,Nagesh Kukunoor,John Abraham,Anaitha Nair,Girish Karnad
Aashiq,1962,150,Romance,6.7,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda
Aashiq,2001,160,"Action, Drama, Romance",3.8,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev
Aashiq Banaya Aapne: Love Takes Over,2005,115,"Drama, Romance, Thriller",4.3,Aditya Datt,Emraan Hashmi,Tanushree Dutta,Sonu Sood
Aashiq Hoon Baharon Ka,1977,136,Romance,5.5,J. Om Prakash,Rajesh Khanna,Zeenat Aman,Danny Denzongpa
Aashiqui,1990,152,"Musical, Drama, Romance",6.3,Mahesh Bhatt,Rahul Roy,Anu Agrawal,Avtar Gill
Aashiqui 2,2013,132,"Drama, Music, Musical",7,Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa
Aashiqui.In,2011,109,"Drama, Romance",3.7,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani
